SR,Elevation,DS,Urban,Agri,Forest
5,452,62.3,0.77,5.53,93.36
5,395,67.7,0.79,5.64,93.24
5,370,72,1.00,8.96,89.76
7,325,83.5,1.01,11.01,87.69
7,267,96.9,1.31,12.75,85.67
12,160,147,1.14,39.66,58.89
14,148,156.7,1.16,47.71,50.87
10,218,57,0.32,61.77,37.92
11,87,37.5,1.20,15.53,83.27
8,160,53,0.36,83.56,15.68
10,90,105,1.17,86.53,12.14
5,38,135,0.80,83.16,15.96
12,25,147,0.80,83.04,16.09
4,380,16,10.57,66.67,22.76
5,257,33,5.32,71.24,23.45
8,137,71,2.58,81.52,15.91
2,260,4.5,1.78,86.71,11.50
14,76,60,0.72,92.82,6.32
13,100,20.5,0.44,43.8,55.77
9,13,95,0.90,86.66,12.44
8,357,62,1.06,18.91,79.77
13,315,78,1.32,23.62,74.80
16,209,120,1.10,31.46,67.21
14,155,145,1.07,38.09,60.63
22,135,166,1.47,44.53,53.74
22,120,176,2.00,46.4,51.34
22,95,210,2.49,57.05,40.20
19,70,245,2.33,60.2,37.21
16,49,272,1.77,61.41,36.48
16,21,338,1.47,64.27,33.82
10,130,102,2.90,84.41,12.69
10,92,127,2.11,89.04,8.85
8,197,32,0.38,96.79,2.82
10,130,50,1.00,96.89,2.11
6,120,76,6.42,91.45,1.91
12,150,73,1.14,64.23,34.63
4,680,40,0.66,43.43,55.70
2,880,14,0.71,8.15,90.57
2,870,18,0.67,10.09,88.71
5,715,34,1.32,21.81,76.61
6,640,61,1.02,25.65,73.16
5,576,70,0.87,33.81,65.16
10,519,80,0.84,34.41,64.61
11,413,121,0.73,34.53,64.47
10,311,150,0.70,37.08,61.87
14,222,160,0.62,49.57,48.69
17,190,196,0.62,50.95,47.44
20,160,216,0.80,51.1,47.11
20,150,250,0.78,52.14,46.09
17,112,305,0.75,52.86,45.55
18,100,332,0.81,52.55,45.79
18,75,364,0.81,52.38,45.96
22,65,385,0.83,52.47,46.13
17,42,409,0.85,53.42,44.91
22,39,438,0.93,55.09,43.17
4,1000,20,0.00,29,71.00
9,260,50,0.32,84.29,15.27
4,460,23,0.06,16.93,82.91
4,400,30,0.16,19.71,80.04
6,340,45,0.60,21.94,77.41
12,280,65,0.64,28.97,70.34
11,128,46,0.70,92.61,6.68
13,105,110,0.74,91.94,7.32
3,473,58,0.06,34.87,62.48
8,170,108.5,0.90,40.87,56.91
11,140,126,2.10,49.96,47.20
10,100,175,1.69,62.96,34.83
1,640,7,0.00,20.18,79.82
9,580,30.05,0.49,54.42,45.09
9,570,34.3,0.42,54.59,44.98
9,550,55.7,0.74,53.46,45.79
7,505,76,2.60,60.5,36.90
9,319,96,1.90,64.85,33.24
8,145,191,1.68,70.97,27.34
9,175,66,2.87,81.69,15.11
12,200,67.3,0.68,70.39,28.53
1,540,12.7,2.20,37.14,60.39
3,500,15,0.95,42.42,56.51
6,200,75,0.86,87.38,11.76
4,340,38,0.00,37.53,62.47
7,520,40,0.11,1.76,98.13
